LENS	TYPE	DESIGN	QTY
200/5.6 Medical.C Auto	C	prime	2515
200/5.6 Medical Auto NKJ	F	prime	9001
200/5.6 Medical Auto Nikon	F	prime	1101
200/5.6 Medical.C Auto	C	prime	4866
2000/11 Reflex	Ai	prime	15
2000/11 Reflex NKJ	F	prime	41
2000/11 Reflex.C	C	prime	231
20cm/4 Q Auto NKJ	F	prime	48741
24-120/3.5-5.6 D IF	AF	zoom	255515
24-120/3.5-5.6 G IF-ED VR	AF-S	zoom	188306
24-50/3.3-4.5	AF	zoom	79341
24-50/3.3-4.5 D	AF	zoom	21991
24-70/2.8 G IF-ED [N]	AF-S	zoom	213879
24-85/2.8-4 D IF	AF	zoom	153404
24-85/3.5-4.5 G IF-ED	AF-S	zoom	100100
24/1.4 G ED [N]	AF-S	prime	5048
24/2	Ai	prime	17192
24/2	Ai-S	prime	47342
24/2.8	AF	prime	57046
24/2.8	Ai	prime	159250
24/2.8	Ai-S	prime	159381
24/2.8	K	prime	69340
24/2.8 D	AF	prime	113091
24/2.8 N Auto NKJ	F	prime	48441
24/2.8 N Auto Nikon	F	prime	43252
24/2.8 N.C Auto	C	prime	64741
24/2.8 New	AF	prime	49027
24/3.5 D PC-E [N]	n/a	prime	4504
25-50/4 Zoom	Ai	zoom	11433
25-50/4 Zoom	Ai-S	zoom	16906
28-100/3.5-5.6 G	AF	zoom	290234
28-105/3.5-4.5 D IF	AF	zoom	395013
28-200/3.5-5.6 D IF	AF	zoom	132601
28-200/3.5-5.6 G IF-ED	AF	zoom	57433
28-45/4.5 Zoom	Ai	zoom	19729
28-50/3.5 Zoom	Ai-S	zoom	21352
28-70/2.8 D IF-ED	AF-S	zoom	130740
28-70/3.5-4.5	AF	zoom	92773
28-70/3.5-4.5 D	AF	zoom	238755
28-80/3.3-5.6 G	AF	zoom	1695139
28-80/3.5-5.6 D	AF	zoom	267134
28-80/3.5-5.6 D New	AF	zoom	608597
28-85/3.5-4.5	AF	zoom	143009
28-85/3.5-4.5 Zoom	Ai-S	zoom	2458
28-85/3.5-4.5 New	AF	zoom	217956
28-85/3.5-4.5 Zoom	Ai-S	zoom	88789
28/1.4 D	AF	prime	7333
28/2	Ai	prime	29945
28/2	Ai-S	prime	44716
28/2	K	prime	12594
28/2.8	AF	prime	81509
28/2.8	Ai	prime	182456
28/2.8	Ai-S	prime	203780
28/2.8	K	prime	37647
28/2.8 D	AF	prime	109870
28/2.8 New	AF	prime	51013
28/2.8 Series E	E	prime	60969
28/2.8 Series E New	E	prime	191239
28/2 N Auto NKJ	C	prime	2726
28/2 N Auto Nikon	C	prime	10770
28/2 N.C Auto	C	prime	17984
28/3.5	Ai	prime	194095
28/3.5	Ai-S	prime	39599
28/3.5	K	prime	83581
28/3.5 PC	AiS*	prime	1
28/3.5 H Auto NKJ	F	prime	70173
28/3.5 H Auto Nikon	F	prime	127614
28/3.5 H.C Auto	C	prime	48367
28/3.5 PC	AiS*	prime	35058
28/4 PC	Ai	prime	7349
3.5-8.5cm/2.8-4 Auto Wide-Zoom	F	prime	3
3.5cm/2.8 S Auto NKJ	F	prime	7080
300/2.8 D IF-ED	AF-I	prime	6249
300/2.8 D IF-ED	AF-S	prime	8935
300/2.8 D IF-ED II	AF-S	prime	5705
300/2.8 G IF-ED II VR [N]	AF-S	prime	47
300/2.8 G IF-ED VR [N]	AF-S	prime	10646
300/2.8 IF-ED	AF	prime	1860
300/2.8 IF-ED New	AF	prime	12508
300/2.8 IF-ED New	Ai-S	prime	7635
300/2.8 Nikkor*ED	K	prime	63
300/2.8 Nikkor*ED IF	Ai	prime	2443
300/2.8 Nikkor*ED IF	Ai-S	prime	5751
300/2.8 Nikkor-H	F	prime	72
300/2 Nikkor*ED IF	Ai-S	prime	441
300/4.5	Ai	prime	33930
300/4.5	Ai-S	prime	32930
300/4.5	K	prime	23895
300/4.5 P Auto NKJ	F	prime	4
300/4.5 H Auto NKJ	F	prime	17009
300/4.5 H Auto Nikon	F	prime	36701
300/4.5 Nikkor*ED	Ai	prime	968
300/4.5 Nikkor*ED	K	prime	898
300/4.5 Nikkor*ED IF	Ai	prime	8080
300/4.5 Nikkor*ED IF	Ai-S	prime	28835
300/4.5 P Auto NKJ	F	prime	15256
300/4 D IF-ED	AF-S	prime	28430
300/4 IF-ED	AF	prime	67944
35-105/3.5-4.5	AF	zoom	346347
35-105/3.5-4.5 D IF	AF	zoom	58237
35-105/3.5-4.5 New	AF	zoom	64155
35-105/3.5-4.5 Zoom	Ai-S	zoom	371560
35-135/3.5-4.5	AF	zoom	51412
35-135/3.5-4.5 New	AF	zoom	225181
35-135/3.5-4.5 Zoom	Ai-S	zoom	91801
35-200/3.5-4.5 Zoom	Ai-S	zoom	42524
35-70/2.8	AF	zoom	129242
35-70/2.8 D	AF	zoom	348485
35-70/3.3-4.5	AF	zoom	778075
35-70/3.3-4.5 New	AF	zoom	1022170
35-70/3.3-4.5 Zoom	Ai-S	zoom	304383
35-70/3.5 Zoom	Ai	zoom	1
35-70/3.5-4.8 Zoom	Ai-S	zoom	1051652
35-70/3.5 Zoom	Ai	zoom	48506
35-70/3.5 Zoom	Ai-S	zoom	158539
35-80/4-5.6 D	AF	zoom	1661308
35/1.4	Ai	prime	16628
35/1.4	Ai-S	prime	85188
35/1.4	K	prime	4434
35/1.4 NASA	Ai-S	prime	23
35/1.4 N Auto NKJ	C	prime	2700
35/1.4 N Auto Nikon	C	prime	8727
35/1.4 N.C Auto	C	prime	7086
35/1.8 G	AF-S	prime	180494
35/2	AF	prime	38317
35/2	Ai	prime	127967
35/2	Ai-S	prime	123408
35/2	K	prime	33116
35/2 O Auto NKJ	F	prime	13
35/2.5 Series E	E	prime	95502
35/2.5 Series E New	E	prime	98854
35/2.8	Ai	prime	19063
35/2.8	Ai-S	prime	72678
35/2.8	K	prime	77658
35/2.8 PC NKJ	F	prime	1
35/2.8 New	Ai	prime	109942
35/2.8 PC	Ai	prime	9517
35/2.8 PC	AiS*	prime	26195
35/2.8 PC NKJ	F	prime	10718
35/2.8 PC Nikon	F	prime	16420
35/2.8 S Auto NKJ	F	prime	94310
35/2.8 S Auto Nikon	F	prime	92562
35/2 D	AF	prime	137609
35/2 O Auto NKJ	F	prime	78787
35/2 O Auto Nikon	F	prime	43213
35/2 O.C Auto	C	prime	36141
35/3.5 PC NKJ	F	prime	9579
36-72/3.5 Series E Zoom	E	zoom	219401
360-1200/11 Zoom*ED	Ai	zoom	97
360-1200/11 Zoom*ED	Ai-S	zoom	81
400/2.8 D IF-ED	AF-I	prime	1504
400/2.8 D IF-ED	AF-S	prime	2062
400/2.8 D IF-ED II	AF-S	prime	2209
400/2.8 G IF-ED VR [N]	AF-S	prime	1751
400/2.8 IF-ED	Ai-S	prime	2601
400/2.8 Nikkor*ED IF	Ai-S	prime	112
400/3.5 Nikkor*ED IF	Ai	prime	3700
400/3.5 Nikkor*ED IF	Ai-S	prime	8075
400/3.5 Nikkor*ED IF	K	prime	71
400/4.5 Q Auto NKJ	F	prime	1220
400/4.5 Q Auto Nikon	F	prime	541
400/4.5 Q.C Auto	C	prime	360
400/5.6 P Auto	F	prime	2
400/5.6 Nikkor*ED	Ai	prime	855
400/5.6 Nikkor*ED	K	prime	1177
400/5.6 Nikkor*ED IF	Ai	prime	2791
400/5.6 Nikkor*ED IF	Ai-S	prime	8898
400/5.6 P.C Auto	C	prime	1410
43-86/3.5 Zoom	Ai	zoom	238150
43-86/3.5 Zoom	K	zoom	29951
43-86/3.5 Zoom Auto NKJ	F	zoom	52027
43-86/3.5 Zoom Auto Nikon	F	zoom	54261
43-86/3.5 Zoom.C Auto	C	zoom	54118
45/2.8 D PC-E Micro	n/a	prime	2841
45/2.8 GN Auto C	C	prime	13047
45/2.8 GN Auto NKJ	F	prime	23848
45/2.8 GN Auto Nikon	F	prime	6389
45/2.8 P	Ai-P	prime	34605
5.5cm/3.5 Micro NKJ	F	prime	2277
5.8cm/1.4 S Auto NKJ	F	prime	39001
50-135/3.5 Zoom	Ai-S	zoom	31525
50-300/4.5 Zoom*ED	Ai	zoom	2
50-300/4.5 Zoom	Ai	zoom	659
50-300/4.5 Zoom	K	zoom	2635
50-300/4.5 Zoom Auto NKJ	F	zoom	8592
50-300/4.5 Zoom Auto Nikon	F	zoom	5700
50-300/4.5 Zoom*ED	Ai	zoom	3865
50-300/4.5 Zoom*ED	Ai-S	zoom	6904
50/1.2	Ai	prime	73049
50/1.2	Ai-S	prime	149148
50/1.2 Classic	Ai-S	prime	100
50/1.4	AF	prime	77229
50/1.4	Ai	prime	909635
50/1.4	Ai-S	prime	768927
50/1.4	K	prime	206980
50/1.4 D	AF	prime	414471
50/1.4 Dragon	Ai-S	prime	2000
50/1.4 F3/T	Ai-S	prime	300
50/1.4 G	AF-S	prime	162973
50/1.4 Gold	Ai	prime	300
50/1.4 New	AF	prime	64331
50/1.4 New	K	prime	131259
50/1.4 S Auto NKJ	F	prime	554071
50/1.4 S Auto Nikon	F	prime	235894
50/1.4 S.C Auto	C	prime	333735
50/1.8	AF	prime	390425
50/1.8	Ai	prime	404618
50/1.8	Ai-S	prime	169551
50/1.8 Series E	E	prime	30
50/1.8 D	AF	prime	706896
50/1.8 Japan	Ai-S	prime	218017
50/1.8 New	AF	prime	403788
50/1.8 New	Ai-S	prime	459567
50/1.8 Series E	E	prime	814947
50/1.8 Series E New	E	prime	1698519
50/2	Ai	prime	312912
50/2	K	prime	239337
50/2 H Auto NKJ	F	prime	343254
50/2 H Auto Nikon	F	prime	195203
50/2 H.C Auto	C	prime	188800
500/4 D IF-ED	AF-I	prime	903
500/4 D IF-ED	AF-S	prime	2377
500/4 D IF-ED II	AF-S	prime	1791
500/4 G IF-ED VR [N]	AF-S	prime	3606
500/4 P IF-ED	Ai-P	prime	7509
500/5 Reflex NKJ	F	prime	2202
500/8 Reflex	Ai*	prime	31317
500/8 Reflex NKJ	F	prime	3657
500/8 Reflex Nikon	F	prime	12806
500/8 Reflex.C	C	prime	54669
50cm/5 Reflex NKJ	F	prime	711
55-200/4-5.6 G ED	AF-S	zoom	929561
55-200/4.5-5.6 G IF-ED VR	AF-S	zoom	1537100
55/1.2	Ai	prime	25518
55/1.2	K	prime	35729
55/1.2 S Auto NKJ	F	prime	3
55/1.2 S Auto NKJ	F	prime	46217
